cycle,week_end,recipient_party,net_total,n_contributions,n_donors,n_committees
2026,2023-03-05,D,3300,1,1,1
2026,2023-03-12,D,3300,1,1,1
2026,2023-03-26,D,6600,2,2,1
2026,2023-04-16,D,3100,5,5,1
2026,2023-04-23,D,3800,2,2,1
2026,2023-05-07,D,5300,2,2,1
2026,2023-05-28,D,4000,3,3,1
2026,2023-06-11,D,2100,4,4,1
2026,2023-06-18,D,4550,4,4,1
2026,2023-06-25,D,7600,3,3,1
2026,2023-07-02,D,9700,4,4,1
2026,2024-12-29,D,375,5,5,1
2026,2025-01-05,D,7568,46,44,17
2026,2025-01-12,D,24776,83,70,30
2026,2025-01-19,D,52195,91,78,33
2026,2025-01-26,D,42395,97,82,36
2026,2025-02-02,D,104018,185,153,49
2026,2025-02-09,D,54904,156,131,48
2026,2025-02-16,D,67958,152,119,46
2026,2025-02-23,D,188015,207,169,65
2026,2025-03-02,D,111652,289,226,72
2026,2025-03-09,D,86942,197,158,60
2026,2025-03-16,D,248491,269,187,81
2026,2025-03-23,D,242688,287,213,85
2026,2025-03-30,D,372177,393,294,88
2026,2025-04-06,D,397778,299,240,80
2026,2025-04-13,D,50196,205,170,61
2026,2025-04-20,D,120108,249,211,69
2026,2025-04-27,D,74712,267,224,82
2026,2025-05-04,D,51523,243,223,78
2026,2025-05-11,D,101491,258,219,78
2026,2025-05-18,D,407954,243,193,80
2026,2025-05-25,D,70086,264,226,83
2026,2025-06-01,D,144919,300,253,102
2026,2025-06-08,D,82933,264,237,82
2026,2025-06-15,D,206671,314,257,113
2026,2025-06-22,D,1980342,365,315,104
2026,2025-06-29,D,501837,340,276,109
2026,2025-07-06,D,207306,473,406,134
2026,2025-07-13,D,68237,300,254,95
2026,2025-07-20,D,168467,381,333,93
2026,2025-07-27,D,105178,325,283,96
2026,2025-08-03,D,117853,394,343,97
2026,2025-08-10,D,68911,304,261,89
2026,2025-08-17,D,70746,340,293,94
2026,2025-08-24,D,77086,349,309,101
2026,2025-08-31,D,135394,417,355,118
2026,2025-09-07,D,105446,376,334,107
2026,2025-09-14,D,150319,457,396,129
2026,2025-09-21,D,194096,461,389,135
2026,2025-09-28,D,371175,587,477,180
2026,2025-10-05,D,332869,591,505,164
2026,2025-10-12,D,135615,479,408,122
2026,2025-10-19,D,376520,464,399,128
2026,2025-10-26,D,636654,650,507,129
