cycle,week_end,net_total,cumulative_net_total,gross_positive,n_contributions,n_donors,n_committees
2026,2023-03-05,3300,3300,3300,1,1,1
2026,2023-03-12,3300,6600,3300,1,1,1
2026,2023-03-26,6600,13200,6600,2,2,1
2026,2023-04-16,3100,16300,3100,5,5,1
2026,2023-04-23,3800,20100,3800,2,2,1
2026,2023-05-07,5300,25400,5300,2,2,1
2026,2023-05-28,4000,29400,4000,3,3,1
2026,2023-06-11,2100,31500,2100,4,4,1
2026,2023-06-18,4550,36050,4550,4,4,1
2026,2023-06-25,7600,43650,7600,3,3,1
2026,2023-07-02,9700,53350,9700,4,4,1
2026,2023-11-05,5000,58350,5000,1,1,1
2026,2024-12-29,375,58725,375,5,5,1
2026,2025-01-05,41791,100516,41949,308,260,40
2026,2025-01-12,45760,146276,45760,232,136,56
2026,2025-01-19,196212,342488,203313,669,524,66
2026,2025-01-26,71501,413989,74601,254,167,71
2026,2025-02-02,272846,686835,272846,707,605,90
2026,2025-02-09,1098462,1785297,1098690,324,238,86
2026,2025-02-16,155044,1940341,155544,643,506,91
2026,2025-02-23,4629728,6570069,4636936,440,281,115
2026,2025-03-02,4414915,10984984,4426519,1138,886,153
2026,2025-03-09,541383,11526367,547187,442,295,117
2026,2025-03-16,434488,11960855,434488,1061,847,132
2026,2025-03-23,7007292,18968147,7033492,598,356,158
2026,2025-03-30,1971305,20939452,2006645,1493,1191,181
2026,2025-04-06,6116817,27056269,6121817,1041,857,155
2026,2025-04-13,3505595,30561864,3505595,808,652,111
2026,2025-04-20,207001,30768865,208801,777,623,112
2026,2025-04-27,300939,31069804,313239,1347,1193,138
2026,2025-05-04,190706,31260510,204706,1045,884,143
2026,2025-05-11,494449,31754959,497974,924,776,132
2026,2025-05-18,1535134,33290093,1545634,970,824,130
2026,2025-05-25,545364,33835457,548530,2665,2537,149
2026,2025-06-01,281764,34117221,282076,1304,1174,161
2026,2025-06-08,440939,34558160,449439,945,827,139
2026,2025-06-15,294849,34853009,298849,1148,966,170
2026,2025-06-22,2588715,37441724,2593715,2935,2772,164
2026,2025-06-29,15806822,53248546,15875222,622,429,187
2026,2025-07-06,29061625,82310171,29082625,2266,2017,240
2026,2025-07-13,225372,82535543,226072,601,433,161
2026,2025-07-20,510805,83046348,522305,3578,3397,152
2026,2025-07-27,177116,83223464,187616,634,458,165
2026,2025-08-03,272133,83495597,272173,2140,1979,161
2026,2025-08-10,789228,84284825,796228,601,463,168
2026,2025-08-17,189516,84474341,191283,1761,1584,157
2026,2025-08-24,25107750,109582091,25116268,636,484,167
2026,2025-08-31,596489,110178580,596524,3998,3814,191
2026,2025-09-07,171644,110350224,185844,699,554,180
2026,2025-09-14,25297492,135647716,25300992,1227,1076,202
2026,2025-09-21,449742,136097458,449742,1421,1231,227
2026,2025-09-28,981916,137079374,997441,3236,2958,280
2026,2025-10-05,809487,137888861,824587,2139,1889,258
2026,2025-10-12,795758,138684619,797258,1489,1304,211
2026,2025-10-19,490730,139175349,493730,1440,1240,197
2026,2025-10-26,1094104,140269453,1094572,3880,3597,213
2026,2025-11-02,359814,140629267,360014,1975,1766,201
2026,2025-11-09,1372172,142001439,1379584,1626,1349,215
2026,2025-11-16,324697,142326136,328683,1948,1719,183
2026,2025-11-23,523038,142849174,526681,3822,3556,236
2026,2025-11-30,335235,143184409,350635,2600,2337,213
2026,2025-12-07,679458,143863867,684622,1609,1399,223
2026,2025-12-14,382562,144246429,390862,872,616,230
2026,2025-12-21,11314696,155561125,11321996,5002,4717,241
2026,2025-12-28,204128,155765253,208053,885,624,198
2026,2026-01-04,2426069,158191322,2426069,2615,2437,220
2026,2026-01-11,46391,158237713,46391,95,85,35
2026,2026-01-18,166067,158403780,166067,326,307,42
2026,2026-01-25,87082,158490862,87082,175,169,47
2026,2026-02-01,1227832,159718694,1227832,1464,1420,69
2026,2026-02-08,485075,160203769,485075,166,144,55
2026,2026-02-15,601621,160805390,601621,446,415,47
2026,2026-02-22,635226,161440616,635226,87,66,46
2026,2026-03-01,774990,162215606,775466,736,712,49
2026,2026-03-08,24812,162240418,28312,21,16,13
2026,2026-03-15,17775,162258193,17775,22,21,17
2026,2026-03-22,34939,162293132,34939,21,18,19
2026,2026-03-29,23300,162316432,26400,19,16,13
2026,2026-04-05,45809,162362241,45809,41,41,10
