state_code,candidate_count,major_party_candidate_count,total_itemized_receipts,tech_itemized_receipts,tech_itemized_donors,ie_support_total,ie_oppose_total,tech_funded_ie_support_total,tech_funded_ie_oppose_total,dem_tech_itemized_receipts,rep_tech_itemized_receipts,ie_net_support,tech_funded_ie_net_support,top_candidate_name,top_candidate_party,top_candidate_tech_itemized_receipts,dem_candidate_name,rep_candidate_name,other_candidate_names,pct_dem,pct_rep,party_label
OR,6,6,1518388,2095,6.0,120,0,0,0,2095,0,120,0,"MERKLEY, JEFFREY ALAN",D,2095,"MERKLEY, JEFFREY ALAN","PERKINS, JO RAE",,100.0,0.0,D
OK,17,16,759284,1000,2.0,0,0,0,0,0,1000,0,0,"MULLIN, MARKWAYNE",R,1000,"BECK, WILLIAM EVAN SCOTT","MULLIN, MARKWAYNE","MEINHARDT, RON",0.0,100.0,R
MS,8,7,2509094,800,2.0,46665,23250,0,0,550,0,23415,0,"COLOM, SCOTT",D,550,"COLOM, SCOTT","HYDE-SMITH, CINDY","PINKINS, TY",100.0,0.0,D
KS,10,10,1329740,500,1.0,139674,0,0,0,500,0,139674,0,"MURRAY, ERIK",D,500,"MURRAY, ERIK","MARSHALL, ROGER W",,100.0,0.0,D
AZ,1,1,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
CA,4,3,0,0,0.0,0,0,0,0,0,0,0,0,"MCGURR, MATTHEW E.",D,0,"MCGURR, MATTHEW E.","FULKERSON, HEATH VINCENT",,,,Unknown
IN,7,6,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
MD,1,1,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
NY,3,2,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
PA,5,5,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
WA,1,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
