state_code,candidate_count,major_party_candidate_count,total_itemized_receipts,tech_itemized_receipts,tech_itemized_donors,ie_support_total,ie_oppose_total,tech_funded_ie_support_total,tech_funded_ie_oppose_total,dem_tech_itemized_receipts,rep_tech_itemized_receipts,ie_net_support,tech_funded_ie_net_support,top_candidate_name,top_candidate_party,top_candidate_tech_itemized_receipts,dem_candidate_name,rep_candidate_name,other_candidate_names,pct_dem,pct_rep,party_label
HI,14,11,1541701,9137,7.0,2064,0,0,0,9137,0,2064,0,"HIRONO, MAZIE K.",D,9137,"HIRONO, MAZIE K.","AMARAL, MELBA S S","POHLMAN, EMMA JANE",100.0,0.0,D
AK,1,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
AR,1,0,0,0,0.0,0,0,0,0,0,0,0,0,"KASPARIAN, ANA",,0,,,"KASPARIAN, ANA",,,Unknown
CO,2,0,0,0,0.0,0,0,0,0,0,0,0,0,"WOLFE, ROBERT EVERETT MR II",,0,,,"WOLFE, ROBERT EVERETT MR II",,,Unknown
DC,2,2,0,0,0.0,0,0,0,0,0,0,0,0,"DEAN, BRANDAUN LEFRED MAYOR",D,0,"DEAN, BRANDAUN LEFRED MAYOR",,,,,Unknown
GA,4,2,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
IA,3,3,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
IL,1,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
KY,1,1,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
OK,1,1,0,0,0.0,0,0,0,0,0,0,0,0,"LUTTRELL, JESSICA",R,0,,"LUTTRELL, JESSICA",,,,Unknown
OR,2,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
SC,1,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,Unknown
