state_code,candidate_count,major_party_candidate_count,total_itemized_receipts,tech_itemized_receipts,tech_itemized_donors,ie_support_total,ie_oppose_total,tech_funded_ie_support_total,tech_funded_ie_oppose_total,dem_tech_itemized_receipts,rep_tech_itemized_receipts,ie_net_support,tech_funded_ie_net_support,top_candidate_name,top_candidate_party,top_candidate_tech_itemized_receipts,dem_candidate_name,rep_candidate_name,other_candidate_names,pct_dem,pct_rep,party_label
MT,11,8,71840325,544885,468.0,35153092,126988445,9400805,32934786,525546,19339,-91835353,-23533981,"TESTER, R. JON",D,525546,"TESTER, R. JON","SHEEHY, TIM","BARB, ROBERT",96.45081072152838,3.549189278471604,D
CA,67,45,50337078,507029,404.0,2414181,19265633,26501,10041117,491578,15451,-16851452,-10014616,"SCHIFF, ADAM",D,191457,"SCHIFF, ADAM","GARVEY, STEVE","ASTORGA, ALEX JOHN; FERREIRA, FRANK; KEIVAULQE AUTIAMEINEIRE, FEPBRINA ESTR; O'NEIL, RUSTEN; RUZON, MARK DR.; SIGMON, MICHAEL R; SINGH, MAJOR; SOSINSKI, JOE; TAPIA, CARLOS GUILLERMO",96.9526397898345,3.0473602101654933,D
OH,14,6,83041791,430254,348.0,99698926,207925152,28336647,77169787,407910,22344,-108226226,-48833140,"BROWN, SHERROD",D,407910,"BROWN, SHERROD","MORENO, BERNIE","FARIS, STEPHEN I MR; SHABAZZ, TARIQ; TINSLEY, LASHONDRA",94.80678854815993,5.193211451840076,D
PA,14,9,52216618,427705,274.0,49111412,182843050,36069791,109127699,328624,99081,-133731638,-73057908,"CASEY, ROBERT P. JR.",D,328624,"CASEY, ROBERT P. JR.","MCCORMICK, DAVE","HAZOU, LEILA; SELKER, MARTY; THOMAS, JOHN C.",76.83426660899451,23.16573339100548,D
TX,33,29,86855962,358125,620.0,20174735,35158843,2952061,2022931,307338,50787,-14984108,929130,"ALLRED, COLIN",D,302938,"ALLRED, COLIN","CRUZ, RAFAEL EDWARD  TED","BROWN, THEODORE E. JR.; ROCHE, ANALISA",85.8186387434555,14.181361256544504,D
WA,20,16,9529266,340518,178.0,4237,0,4003,0,339258,1260,4237,4003,"CANTWELL, MARIA",D,339258,"CANTWELL, MARIA","GARCIA, DR RAUL","TILTON, DAVID M",99.62997550790267,0.37002449209733407,D
MI,28,21,40030837,333244,297.0,48818288,93075675,12419672,64266464,314625,18619,-44257387,-51846792,"SLOTKIN, ELISSA",D,290815,"SLOTKIN, ELISSA","ROGERS, MICHAEL J","FRIZZELL, JAMES KIETH MR SR; MARSH, DOUGLAS PHILIP; SOLIS-MULLEN, JOSEPH; WILLIS, VALERIE LEE",94.41280263110514,5.587197368894864,D
AZ,23,14,41892883,286356,303.0,26588865,51348277,10267607,6051463,234348,19457,-24759412,4216144,"GALLEGO, RUBEN",D,234348,"GALLEGO, RUBEN","LAKE, KARI","GRAYSON, RICHARD; HERNANDEZ, ARTURO; NORTON, MIKE; QUINTANA, EDUARDO; SINEMA, KYRSTEN; WILLIAMS, SARAH",92.33387837119048,7.666121628809519,D
WI,17,11,40805058,224922,190.0,18497971,101385628,12125658,42098670,198220,26702,-82887657,-29973012,"BALDWIN, TAMMY",D,198220,"BALDWIN, TAMMY","HOVDE, ERIC D","ANDERSON, PHILLIP NORMAN; AUBART, SCOTT ALAN MR; LEAGER, THOMAS CHARLES MR.; PAUL, ADAM NICHOLAS",88.12832893180747,11.871671068192528,D
NV,25,17,32212514,210202,156.0,23223552,74774904,13950874,17052780,202243,7959,-51551352,-3101906,"ROSEN, JACKY",D,202243,"ROSEN, JACKY","BROWN, SAM","CLARK, CORNELL MAURICE DR.; CUNNINGHAM, CHRIS; DESTIN, JOSEPH JAMES; MAZLO, CHRISTOPHER CRAIG; WING, BRADLEY SCOTT MR.",96.21364211567919,3.7863578843207963,D
NE,11,8,11496866,166912,156.0,13642301,15623838,1776819,3391496,0,47082,-1981537,-1614677,"OSBORN, DAN",,119830,"LOVE, PRESTON JR","FISCHER, DEBRA S.","EDDY, KERRY; OSBORN, DAN",0.0,100.0,R
MD,43,28,21636284,160045,160.0,6148399,45436746,958060,8012269,147454,12591,-39288347,-7054209,"ALSOBROOKS, ANGELA",D,123079,"ALSOBROOKS, ANGELA","HOGAN, LARRY","BRIDGES, BILLY; OSUCHUKWU, ONYEKACHI; SCOTT, MIKE; SIGMON, MICHAEL R; SIGMON, MICHAEL RAY; WALLACE, NANCY",92.1328376394139,7.867162360586086,D
NM,13,8,9327268,133412,50.0,250344,2262310,0,300000,132152,1260,-2011966,-300000,"HEINRICH, MARTIN",D,132152,"HEINRICH, MARTIN","DOMENICI, NELLA LOUISE LOUISE","CHICK, CAMERON ALTON MR. SR.; CHICK, CAMERON MR.; LUNA, BENJAMIN RALPH #1728; ROSE, JERRY",99.05555722123947,0.9444427787605313,D
NJ,25,17,17123402,129272,82.0,1669815,368522,32326,0,111372,1000,1301293,32326,"KIM, ANDY",D,101772,"KIM, ANDY","BASHAW, CURTIS","CARDUCCI, NICHOLAS MATTHEW; ESTRADA, MICHAEL; KHALIL, CHRISTINA AMIRA; MENENDEZ, ROBERT; MOONEYHAM, PATRICIA G MISS; SCAZZOLA, VICTOR JOSEPH",99.11009860107501,0.8899013989249992,D
FL,40,24,22480906,112307,137.0,1628032,9173329,1099494,8616811,107711,4596,-7545297,-7517317,"MUCARSEL-POWELL, DEBBIE",D,106306,"MUCARSEL-POWELL, DEBBIE","SCOTT, RICK SEN","BENNETT, SHANTELE RENEE MS N/A; BONOAN, FEENA; EVERIDGE, BEN; NGUYEN, QUOC TUAN MR.; TOULME, ALIX CHRISTOPHER MR. JR.",95.90764600603703,4.092353993962976,D
VA,18,15,12686034,85239,77.0,622534,0,16416,0,73965,11274,622534,16416,"KAINE, TIMOTHY MICHAEL",D,73965,"KAINE, TIMOTHY MICHAEL","CAO, HUNG","HARDIN, JONATHAN T DR PH.D.; XIONG, TIGER DR.",86.77365994439165,13.226340055608349,D
UT,20,18,7510095,54483,24.0,10512139,1993187,106381,0,3555,50928,8518952,106381,"CURTIS, JOHN",R,49850,"GLEICH, CAROLINE","CURTIS, JOHN","BOWEN, CARLTON E.; NEWCOMB, ROBERT",6.524971091900225,93.47502890809977,R
ME,5,3,3448478,52450,14.0,16370,0,0,0,0,0,16370,0,"KING, ANGUS S. JR.",,52450,"ALCALA, NATASHA","KOUZOUNAS, DEMI","CHERRY, JASON SETH; KING, ANGUS S. JR.",,,Unknown
NY,26,15,4126521,52415,22.0,30149,0,766,0,45715,0,30149,766,"GILLIBRAND, KIRSTEN",D,45715,"GILLIBRAND, KIRSTEN","MILLER, (EMILY) YUEXIN","SARE, DIANE WILSON MS",100.0,0.0,D
MA,13,8,4905115,52147,95.0,1705333,409162,372,0,30957,21190,1296171,372,"WARREN, ELIZABETH",D,30957,"WARREN, ELIZABETH","DEATON, JOHN","GRIFFIN, BRANDON JAMES; MARINO, LOUIS GREGORY; SCHENA, JOSEPH JR.",59.36487238000269,40.63512761999731,Mixed
WY,5,4,3339161,48045,14.0,1007627,0,25000,0,900,47145,1007627,25000,"BARRASSO, JOHN A",R,47145,"MORROW, SCOTT D MR","BARRASSO, JOHN A",,1.8732438339057134,98.12675616609428,R
TN,12,8,6893834,46847,31.0,496653,0,100002,0,15050,31797,496653,100002,"BLACKBURN, MARSHA MRS.",R,31797,"JOHNSON, GLORIA","BLACKBURN, MARSHA MRS.","MOSES, PAMELA",32.12585651162294,67.87414348837706,Mixed
CT,7,6,8462496,45199,29.0,55168,0,158,0,45199,0,55168,158,"MURPHY, CHRISTOPHER S",D,45199,"MURPHY, CHRISTOPHER S","COREY, MATTHEW MCKINNON","PAGLINO, JUSTIN COBB DR",100.0,0.0,D
VT,6,1,3714928,42899,135.0,0,0,0,0,0,0,0,0,"SANDERS, BERNARD",,42899,,"MALLOY, GERALD","GREENSTEIN, MARK STEWART; HILL, MATT FOR; SANDERS, BERNARD",,,Unknown
MO,12,7,14738137,40545,67.0,1060164,3397855,1036983,0,39416,129,-2337691,1036983,"KUNCE, LUCAS",D,39416,"KUNCE, LUCAS","HAWLEY, JOSHUA DAVID SEN","EXLEY, ZACK; YOUNG, JARED",99.67378935390062,0.32621064609938044,D
DE,6,5,4086431,34976,22.0,16779,0,0,0,34976,0,16779,0,"BLUNT ROCHESTER, LISA",D,34936,"BLUNT ROCHESTER, LISA","HANSEN, ERIC","KATZ, MIKE DR.",100.0,0.0,D
MN,19,12,6099298,27890,15.0,107551,0,50,0,0,1250,107551,50,"KLOBUCHAR, AMY",,26640,,"WHITE, ROYCE","CARLSON, STEVE; KLOBUCHAR, AMY; LACEY, JOYCE L",0.0,100.0,R
ND,3,2,3024746,25905,16.0,103236,0,492,0,10175,15730,103236,492,"CRAMER, KEVIN MR.",R,15730,"CHRISTIANSEN, KATRINA","CRAMER, KEVIN MR.","HEDGER, KRISTIN RUTH",39.27813163481954,60.72186836518046,Mixed
WV,15,12,8398037,25345,16.0,4965430,2812720,336353,2106384,22625,2720,2152710,-1770031,"MANCHIN, JOE III",D,17450,"MANCHIN, JOE III","MOONEY, ALEXANDER X","SIGMON, MICHAEL R",89.26810021700533,10.731899782994674,D
MS,5,4,4987468,24750,18.0,414285,21910,0,0,1950,22800,392375,0,"WICKER, ROGER SEN.",R,22800,"PINKINS, TY","WICKER, ROGER SEN.","TAGGART, JON M MR.",7.878787878787878,92.12121212121212,R
RI,6,5,2395114,11900,4.0,296275,82828,0,0,11900,0,213447,0,"WHITEHOUSE, SHELDON",D,11900,"WHITEHOUSE, SHELDON","MORGAN, PATRICIA L",,100.0,0.0,D
IN,18,13,6002581,9300,6.0,4083584,0,352005,0,0,9300,4083584,352005,"BANKS, JAMES E. HON.",R,9300,"CARMICHAEL, ROBERT MARC","BANKS, JAMES E. HON.","HORNING, ANDY; KENT, RICHARD ALLEN REV",0.0,100.0,R
