cycle,week_end,recipient_bucket,net_total,n_contributions,n_donors,n_committees
2024,2024-09-15,other,1000,1,1,1
2024,2024-10-20,other,40000,1,1,1
2024,2023-01-01,outside_spending,750,2,2,2
2024,2023-01-08,outside_spending,300,2,2,2
2024,2023-01-15,outside_spending,600,2,2,1
2024,2023-01-22,outside_spending,6057,12,9,6
2024,2023-01-29,outside_spending,5500,3,2,2
2024,2023-02-05,outside_spending,3510300,6,4,6
2024,2023-02-12,outside_spending,600,2,2,1
2024,2023-02-19,outside_spending,484,3,3,2
2024,2023-02-26,outside_spending,35190,11,9,7
2024,2023-03-05,outside_spending,1650,12,11,8
2024,2023-03-12,outside_spending,154837,7,7,5
2024,2023-03-19,outside_spending,2110,14,14,8
2024,2023-03-26,outside_spending,9759,21,18,12
2024,2023-04-02,outside_spending,1416,16,15,7
2024,2023-04-09,outside_spending,3202,10,10,7
2024,2023-04-16,outside_spending,12447,12,12,8
2024,2023-04-23,outside_spending,2003001,21,18,7
2024,2023-04-30,outside_spending,3496,22,17,8
2024,2023-05-07,outside_spending,3438,37,34,12
2024,2023-05-14,outside_spending,2003716,32,27,12
2024,2023-05-21,outside_spending,3720,44,34,10
2024,2023-05-28,outside_spending,5740,34,26,13
2024,2023-06-04,outside_spending,4011,42,39,15
2024,2023-06-11,outside_spending,2122483,44,34,16
2024,2023-06-18,outside_spending,1602837,39,35,13
2024,2023-06-25,outside_spending,3479,39,32,11
2024,2023-07-02,outside_spending,253905,55,50,10
2024,2023-07-09,outside_spending,3160,83,67,15
2024,2023-07-16,outside_spending,1002904,53,48,10
2024,2023-07-23,outside_spending,6524,74,71,16
2024,2023-07-30,outside_spending,5512,64,51,11
2024,2023-08-06,outside_spending,4012,97,72,19
2024,2023-08-13,outside_spending,27898,47,47,13
2024,2023-08-20,outside_spending,303592,64,62,14
2024,2023-08-27,outside_spending,5879,48,44,15
2024,2023-09-03,outside_spending,254641,77,71,16
2024,2023-09-10,outside_spending,252181,66,61,16
2024,2023-09-17,outside_spending,1004655,86,69,16
2024,2023-09-24,outside_spending,1505695,79,76,20
2024,2023-10-01,outside_spending,3560,65,64,12
2024,2023-10-08,outside_spending,14864,96,80,18
2024,2023-10-15,outside_spending,22546,65,63,20
2024,2023-10-22,outside_spending,93755,86,82,21
2024,2023-10-29,outside_spending,103728,64,60,19
2024,2023-11-05,outside_spending,55302,105,86,18
2024,2023-11-12,outside_spending,1210581,72,71,25
2024,2023-11-19,outside_spending,9382,75,70,14
2024,2023-11-26,outside_spending,3326,70,66,17
2024,2023-12-03,outside_spending,4367,104,86,17
2024,2023-12-10,outside_spending,4788,70,68,18
2024,2023-12-17,outside_spending,15116,60,60,16
2024,2023-12-24,outside_spending,1183313,90,78,21
2024,2023-12-31,outside_spending,2772834,63,59,15
2024,2024-01-07,outside_spending,10925,8,8,7
2024,2024-01-14,outside_spending,25750,4,4,3
2024,2024-01-21,outside_spending,1659,8,8,6
2024,2024-01-28,outside_spending,2055882,13,11,10
2024,2024-02-04,outside_spending,3778,16,12,10
2024,2024-02-11,outside_spending,643540,48,11,10
2024,2024-02-18,outside_spending,2260,5,5,4
2024,2024-02-25,outside_spending,552785,27,12,9
2024,2024-03-03,outside_spending,6767,13,10,6
2024,2024-03-10,outside_spending,212733,19,17,10
2024,2024-03-17,outside_spending,78714,21,17,12
2024,2024-03-24,outside_spending,140097,26,25,11
2024,2024-03-31,outside_spending,13741,19,13,7
2024,2024-04-07,outside_spending,7403,42,34,16
2024,2024-04-14,outside_spending,1023547,23,18,8
2024,2024-04-21,outside_spending,276605,36,35,12
2024,2024-04-28,outside_spending,54759,28,27,11
2024,2024-05-05,outside_spending,147228,41,38,16
2024,2024-05-12,outside_spending,66751,30,28,15
2024,2024-05-19,outside_spending,254249,33,31,12
2024,2024-05-26,outside_spending,9215,38,34,12
2024,2024-06-02,outside_spending,93793,44,39,17
2024,2024-06-09,outside_spending,29686,32,29,16
2024,2024-06-16,outside_spending,1018197,38,36,17
2024,2024-06-23,outside_spending,648332,56,49,18
2024,2024-06-30,outside_spending,156998,43,38,12
2024,2024-07-07,outside_spending,5042553,60,56,20
2024,2024-07-14,outside_spending,6052661,39,31,15
2024,2024-07-21,outside_spending,5033674,129,105,26
2024,2024-07-28,outside_spending,5037245,98,85,25
2024,2024-08-04,outside_spending,20775,81,70,28
2024,2024-08-11,outside_spending,17023355,80,72,26
2024,2024-08-18,outside_spending,6991319,65,57,22
2024,2024-08-25,outside_spending,15105867,110,98,24
2024,2024-09-01,outside_spending,367199,84,70,22
2024,2024-09-08,outside_spending,30020629,105,88,34
2024,2024-09-15,outside_spending,64254,143,116,34
2024,2024-09-22,outside_spending,203191,154,119,37
2024,2024-09-29,outside_spending,52841,131,105,31
2024,2024-10-06,outside_spending,21992770,165,138,39
2024,2024-10-13,outside_spending,22974016,164,133,40
2024,2024-10-20,outside_spending,41666564,242,187,42
2024,2024-10-27,outside_spending,29043645,216,170,40
2024,2024-11-03,outside_spending,26184997,316,225,53
2024,2024-11-10,outside_spending,46447,142,111,31
2024,2024-11-17,outside_spending,4004260,73,63,18
2024,2024-11-24,outside_spending,4046,81,75,20
2024,2024-12-01,outside_spending,40977424,77,65,24
2024,2024-12-08,outside_spending,10111,87,84,23
2024,2024-12-15,outside_spending,2571,53,49,12
2024,2024-12-22,outside_spending,3242,79,75,17
2024,2024-12-29,outside_spending,5611,55,52,17
2024,2025-01-05,outside_spending,3115,20,19,8
2024,2021-01-17,pac,25,1,1,1
2024,2022-11-20,pac,50,1,1,1
2024,2022-12-18,pac,50,1,1,1
2024,2023-01-01,pac,895,6,6,4
2024,2023-01-08,pac,49203,224,217,17
2024,2023-01-15,pac,29053,141,129,18
2024,2023-01-22,pac,51520,203,188,22
2024,2023-01-29,pac,19386,73,71,14
2024,2023-02-05,pac,115624,367,362,34
2024,2023-02-12,pac,274416,116,107,24
2024,2023-02-19,pac,81120,367,356,26
2024,2023-02-26,pac,26715,84,71,23
2024,2023-03-05,pac,96882,580,542,32
2024,2023-03-12,pac,89400,125,105,25
2024,2023-03-19,pac,81369,615,594,28
2024,2023-03-26,pac,64604,78,58,28
2024,2023-04-02,pac,412675,1298,883,42
2024,2023-04-09,pac,387310,217,171,31
2024,2023-04-16,pac,106067,784,767,28
2024,2023-04-23,pac,174250,116,100,29
2024,2023-04-30,pac,1270033,1055,1032,36
2024,2023-05-07,pac,59502,138,115,35
2024,2023-05-14,pac,95203,477,454,33
2024,2023-05-21,pac,61248,771,723,32
2024,2023-05-28,pac,125233,1098,1076,38
2024,2023-06-04,pac,2154354,929,883,45
2024,2023-06-11,pac,354315,596,550,32
2024,2023-06-18,pac,585328,839,799,39
2024,2023-06-25,pac,257517,1168,1144,37
2024,2023-07-02,pac,304819,1190,1139,47
2024,2023-07-09,pac,71525,647,590,38
2024,2023-07-16,pac,74905,855,812,34
2024,2023-07-23,pac,130315,1260,1201,46
2024,2023-07-30,pac,64123,237,186,39
2024,2023-08-06,pac,206414,1824,1732,46
2024,2023-08-13,pac,89856,204,156,38
2024,2023-08-20,pac,290470,2115,2014,55
2024,2023-08-27,pac,32441,345,251,42
2024,2023-09-03,pac,174262,1847,1790,56
2024,2023-09-10,pac,118632,266,230,42
2024,2023-09-17,pac,497070,1564,1512,54
2024,2023-09-24,pac,242291,287,235,61
2024,2023-10-01,pac,311795,2636,2559,67
2024,2023-10-08,pac,542949,338,280,52
2024,2023-10-15,pac,280244,1745,1699,48
2024,2023-10-22,pac,1097324,294,238,56
2024,2023-10-29,pac,143450,2421,2305,54
2024,2023-11-05,pac,176590,1680,1590,56
2024,2023-11-12,pac,89147,1034,981,51
2024,2023-11-19,pac,607386,1759,1686,52
2024,2023-11-26,pac,660418,2413,2357,55
2024,2023-12-03,pac,255561,2351,2258,60
2024,2023-12-10,pac,109728,1229,1165,53
2024,2023-12-17,pac,1338943,1776,1687,58
2024,2023-12-24,pac,462062,3325,3208,62
2024,2023-12-31,pac,421040,2483,2365,53
2024,2024-01-07,pac,86535,234,209,25
2024,2024-01-14,pac,1186781,122,96,25
2024,2024-01-21,pac,98143,267,227,27
2024,2024-01-28,pac,77158,131,84,28
2024,2024-02-04,pac,157155,473,423,39
2024,2024-02-11,pac,163670,149,107,38
2024,2024-02-18,pac,769210,464,420,30
2024,2024-02-25,pac,198272,144,106,33
2024,2024-03-03,pac,698666,713,648,48
2024,2024-03-10,pac,237018,251,203,41
2024,2024-03-17,pac,375017,792,727,43
2024,2024-03-24,pac,6428817,293,204,34
2024,2024-03-31,pac,218627,1167,1065,42
2024,2024-04-07,pac,4961486,239,184,48
2024,2024-04-14,pac,219856,551,508,50
2024,2024-04-21,pac,574281,652,585,51
2024,2024-04-28,pac,1113205,703,638,60
2024,2024-05-05,pac,1465268,914,822,64
2024,2024-05-12,pac,1167014,690,622,59
2024,2024-05-19,pac,281105,969,872,39
2024,2024-05-26,pac,245450,1437,1358,51
2024,2024-06-02,pac,739241,1729,1490,61
2024,2024-06-09,pac,2006790,918,815,66
2024,2024-06-16,pac,448909,1108,1007,56
2024,2024-06-23,pac,3444953,1623,1518,72
2024,2024-06-30,pac,1510919,1864,1653,82
2024,2024-07-07,pac,177934,994,816,66
2024,2024-07-14,pac,218845,759,564,53
2024,2024-07-21,pac,594813,3077,2767,76
2024,2024-07-28,pac,1503544,2203,1751,86
2024,2024-08-04,pac,883893,3099,2692,79
2024,2024-08-11,pac,1615378,1800,1369,77
2024,2024-08-18,pac,2568988,2552,2266,73
2024,2024-08-25,pac,896592,2238,1740,68
2024,2024-09-01,pac,2803416,3997,3639,85
2024,2024-09-08,pac,563001,1706,1317,80
2024,2024-09-15,pac,921366,3924,3319,105
2024,2024-09-22,pac,1745313,2043,1611,95
2024,2024-09-29,pac,7492699,3423,2917,106
2024,2024-10-06,pac,7702271,4229,3494,118
2024,2024-10-13,pac,2705214,4943,4317,111
2024,2024-10-20,pac,795345,4195,3236,112
2024,2024-10-27,pac,1615935,4234,3066,110
2024,2024-11-03,pac,1391328,5676,4159,109
2024,2024-11-10,pac,263394,4353,3866,86
2024,2024-11-17,pac,92603,2115,1985,62
2024,2024-11-24,pac,77995,1197,1095,62
2024,2024-12-01,pac,115027,2598,2504,56
2024,2024-12-08,pac,369120,2228,2106,67
2024,2024-12-15,pac,1096797,1950,1839,53
2024,2024-12-22,pac,547597,3594,3500,60
2024,2024-12-29,pac,29276,350,285,50
2024,2025-01-05,pac,117082,2255,2227,34
2024,2023-01-08,party,800,4,4,4
2024,2023-01-15,party,1906,6,6,5
2024,2023-01-22,party,26315,5,4,4
2024,2023-01-29,party,50577,16,15,11
2024,2023-02-05,party,4534,19,17,4
2024,2023-02-12,party,8278,17,15,4
2024,2023-02-19,party,253145,18,12,6
2024,2023-02-26,party,12675,29,27,11
2024,2023-03-05,party,60250,55,50,11
2024,2023-03-12,party,60007,27,25,7
2024,2023-03-19,party,46426,43,39,9
2024,2023-03-26,party,153991,57,47,11
2024,2023-04-02,party,92740,74,58,13
2024,2023-04-09,party,341903,52,42,13
2024,2023-04-16,party,10352,45,39,11
2024,2023-04-23,party,-4185,42,37,12
2024,2023-04-30,party,63726,74,59,13
2024,2023-05-07,party,8728,58,53,14
2024,2023-05-14,party,6770,70,61,17
2024,2023-05-21,party,4945,67,63,13
2024,2023-05-28,party,6554,82,75,17
2024,2023-06-04,party,9675,99,83,18
2024,2023-06-11,party,6956,68,63,20
2024,2023-06-18,party,36892,86,77,17
2024,2023-06-25,party,293799,70,63,13
2024,2023-07-02,party,14270,135,111,20
2024,2023-07-09,party,31579,68,62,16
2024,2023-07-16,party,55467,75,68,18
2024,2023-07-23,party,7377,74,67,14
2024,2023-07-30,party,10055,115,100,17
2024,2023-08-06,party,46551,87,73,21
2024,2023-08-13,party,5666,86,76,15
2024,2023-08-20,party,294229,104,94,18
2024,2023-08-27,party,5221,86,78,19
2024,2023-09-03,party,11255,146,127,19
2024,2023-09-10,party,9151,122,111,22
2024,2023-09-17,party,10219,136,129,28
2024,2023-09-24,party,26062,134,115,21
2024,2023-10-01,party,284761,239,201,31
2024,2023-10-08,party,33305,121,110,20
2024,2023-10-15,party,10767,131,119,22
2024,2023-10-22,party,34170,142,127,21
2024,2023-10-29,party,54272,183,163,26
2024,2023-11-05,party,10145,201,166,23
2024,2023-11-12,party,17921,144,130,23
2024,2023-11-19,party,15643,162,142,28
2024,2023-11-26,party,10910,174,149,23
2024,2023-12-03,party,14753,253,218,24
2024,2023-12-10,party,28513,158,132,23
2024,2023-12-17,party,55934,171,144,26
2024,2023-12-24,party,121469,183,152,29
2024,2023-12-31,party,25306,243,210,27
2024,2024-01-07,party,3972,11,10,6
2024,2024-01-14,party,3660,8,5,5
2024,2024-01-21,party,39805,14,13,5
2024,2024-01-28,party,56150,13,12,8
2024,2024-02-04,party,10985,24,22,5
2024,2024-02-11,party,77264,34,24,15
2024,2024-02-18,party,28990,29,22,9
2024,2024-02-25,party,69740,40,31,11
2024,2024-03-03,party,26478,66,46,8
2024,2024-03-10,party,161362,72,59,15
2024,2024-03-17,party,375925,65,53,13
2024,2024-03-24,party,23624,80,57,12
2024,2024-03-31,party,18962,99,69,16
2024,2024-04-07,party,377416,87,61,14
2024,2024-04-14,party,25320,74,52,19
2024,2024-04-21,party,11989,93,69,17
2024,2024-04-28,party,23045,84,54,12
2024,2024-05-05,party,15738,116,90,16
2024,2024-05-12,party,133996,78,65,16
2024,2024-05-19,party,14031,93,80,17
2024,2024-05-26,party,24615,94,77,18
2024,2024-06-02,party,56289,141,113,21
2024,2024-06-09,party,75760,95,71,24
2024,2024-06-16,party,68008,120,105,22
2024,2024-06-23,party,177929,104,89,16
2024,2024-06-30,party,277956,206,165,20
2024,2024-07-07,party,310173,118,95,16
2024,2024-07-14,party,46129,141,113,22
2024,2024-07-21,party,166404,355,296,23
2024,2024-07-28,party,127828,270,220,19
2024,2024-08-04,party,183084,197,171,22
2024,2024-08-11,party,75284,219,171,23
2024,2024-08-18,party,45570,192,167,21
2024,2024-08-25,party,346339,294,238,17
2024,2024-09-01,party,363916,303,244,25
2024,2024-09-08,party,109621,247,202,27
2024,2024-09-15,party,113110,336,282,38
2024,2024-09-22,party,83723,293,251,22
2024,2024-09-29,party,166152,355,289,31
2024,2024-10-06,party,102726,374,310,24
2024,2024-10-13,party,157761,365,281,26
2024,2024-10-20,party,214187,449,344,30
2024,2024-10-27,party,188453,449,338,27
2024,2024-11-03,party,201280,555,386,36
2024,2024-11-10,party,315127,308,230,26
2024,2024-11-17,party,12452,205,169,23
2024,2024-11-24,party,13324,233,196,24
2024,2024-12-01,party,14425,247,212,24
2024,2024-12-08,party,7496,171,143,23
2024,2024-12-15,party,7711,174,144,24
2024,2024-12-22,party,7312,179,154,21
2024,2024-12-29,party,9300,191,155,18
2024,2025-01-05,party,3235,77,70,14
