cycle,week_end,recipient_bucket,net_total,n_contributions,n_donors,n_committees
2024,2022-04-10,candidate,60,1,1,1
2024,2022-06-19,candidate,250,1,1,1
2024,2022-11-20,candidate,250,5,1,5
2024,2022-12-18,candidate,750,6,2,6
2024,2023-01-01,candidate,290,6,6,6
2024,2023-01-08,candidate,3317,57,53,17
2024,2023-01-15,candidate,34106,97,81,25
2024,2023-01-22,candidate,23700,65,50,28
2024,2023-01-29,candidate,23429,75,62,34
2024,2023-02-05,candidate,30021,86,80,32
2024,2023-02-12,candidate,40787,72,55,23
2024,2023-02-19,candidate,64367,92,71,47
2024,2023-02-26,candidate,58004,92,72,42
2024,2023-03-05,candidate,119884,138,115,55
2024,2023-03-12,candidate,100418,95,77,36
2024,2023-03-19,candidate,116794,121,89,43
2024,2023-03-26,candidate,205888,147,90,86
2024,2023-04-02,candidate,326550,229,174,87
2024,2023-04-09,candidate,44491,99,89,35
2024,2023-04-16,candidate,32196,98,74,45
2024,2023-04-23,candidate,41783,121,99,54
2024,2023-04-30,candidate,91862,156,129,62
2024,2023-05-07,candidate,53485,102,90,51
2024,2023-05-14,candidate,44989,115,95,44
2024,2023-05-21,candidate,81018,134,111,63
2024,2023-05-28,candidate,86063,131,103,65
2024,2023-06-04,candidate,107460,128,106,63
2024,2023-06-11,candidate,73672,154,135,64
2024,2023-06-18,candidate,88116,138,107,69
2024,2023-06-25,candidate,98403,158,135,70
2024,2023-07-02,candidate,244859,286,230,102
2024,2023-07-09,candidate,32674,122,112,43
2024,2023-07-16,candidate,107203,189,142,73
2024,2023-07-23,candidate,114762,212,164,89
2024,2023-07-30,candidate,79083,186,152,85
2024,2023-08-06,candidate,44189,157,141,56
2024,2023-08-13,candidate,41008,145,126,52
2024,2023-08-20,candidate,63378,191,153,75
2024,2023-08-27,candidate,128054,225,173,88
2024,2023-09-03,candidate,166008,232,179,104
2024,2023-09-10,candidate,52885,167,155,63
2024,2023-09-17,candidate,73013,192,156,72
2024,2023-09-24,candidate,130344,249,205,105
2024,2023-10-01,candidate,368399,462,348,158
2024,2023-10-08,candidate,57252,149,137,64
2024,2023-10-15,candidate,84517,220,174,78
2024,2023-10-22,candidate,53337,222,178,79
2024,2023-10-29,candidate,69988,240,193,83
2024,2023-11-05,candidate,98994,292,235,93
2024,2023-11-12,candidate,100620,290,246,82
2024,2023-11-19,candidate,119782,295,223,96
2024,2023-11-26,candidate,159225,233,171,83
2024,2023-12-03,candidate,181224,357,283,108
2024,2023-12-10,candidate,184572,327,275,101
2024,2023-12-17,candidate,187551,325,239,100
2024,2023-12-24,candidate,241112,341,262,137
2024,2023-12-31,candidate,211149,484,387,134
2024,2024-01-07,candidate,78762,251,210,74
2024,2024-01-14,candidate,83767,312,247,81
2024,2024-01-21,candidate,134573,349,277,100
2024,2024-01-28,candidate,152764,390,321,100
2024,2024-02-04,candidate,228390,471,368,121
2024,2024-02-11,candidate,260668,387,282,118
2024,2024-02-18,candidate,173469,387,287,125
2024,2024-02-25,candidate,168802,437,343,113
2024,2024-03-03,candidate,287316,578,435,155
2024,2024-03-10,candidate,258904,531,422,109
2024,2024-03-17,candidate,159169,405,310,131
2024,2024-03-24,candidate,195021,368,277,120
2024,2024-03-31,candidate,334746,618,452,166
2024,2024-04-07,candidate,167959,338,282,93
2024,2024-04-14,candidate,123561,329,263,91
2024,2024-04-21,candidate,147904,348,272,116
2024,2024-04-28,candidate,243403,396,297,127
2024,2024-05-05,candidate,147239,466,381,124
2024,2024-05-12,candidate,146286,366,297,110
2024,2024-05-19,candidate,168276,439,343,130
2024,2024-05-26,candidate,158147,434,337,130
2024,2024-06-02,candidate,232925,717,594,123
2024,2024-06-09,candidate,213139,474,380,127
2024,2024-06-16,candidate,183739,464,345,137
2024,2024-06-23,candidate,375626,567,409,139
2024,2024-06-30,candidate,533887,1128,840,186
2024,2024-07-07,candidate,206820,621,467,101
2024,2024-07-14,candidate,140920,561,432,99
2024,2024-07-21,candidate,815252,2030,1547,125
2024,2024-07-28,candidate,1052167,2417,1897,142
2024,2024-08-04,candidate,558201,1536,1192,152
2024,2024-08-11,candidate,635471,1893,1482,137
2024,2024-08-18,candidate,322806,1003,778,130
2024,2024-08-25,candidate,712389,2248,1729,141
2024,2024-09-01,candidate,383814,1543,1206,149
2024,2024-09-08,candidate,453484,1532,1192,145
2024,2024-09-15,candidate,810877,2975,2456,146
2024,2024-09-22,candidate,623459,1844,1425,179
2024,2024-09-29,candidate,636302,2139,1607,182
2024,2024-10-06,candidate,725667,2635,1976,175
2024,2024-10-13,candidate,678550,2803,2094,154
2024,2024-10-20,candidate,893122,3722,2784,174
2024,2024-10-27,candidate,908517,4057,3006,167
2024,2024-11-03,candidate,771338,4757,3330,172
2024,2024-11-10,candidate,181093,1257,1020,89
2024,2024-11-17,candidate,8575,54,40,23
2024,2024-11-24,candidate,15813,40,35,22
2024,2024-12-01,candidate,8096,52,45,21
2024,2024-12-08,candidate,5403,25,20,18
2024,2024-12-15,candidate,26352,41,29,17
2024,2024-12-22,candidate,5126,30,27,17
2024,2024-12-29,candidate,5746,34,30,16
2024,2025-01-05,candidate,4464,15,13,9
2024,2024-04-14,other,500,1,1,1
2024,2024-05-19,other,500,1,1,1
