state_code,candidate_count,major_party_candidate_count,house_candidate_count,senate_candidate_count,total_itemized_receipts,tech_itemized_receipts,ie_support_total,ie_oppose_total,tech_funded_ie_support_total,tech_funded_ie_oppose_total,dem_tech_itemized_receipts,rep_tech_itemized_receipts,ie_net_support,tech_funded_ie_net_support,house_district_count,major_party_house_district_count,has_senate_race,top_candidate_name,top_candidate_party,top_candidate_tech_itemized_receipts,pct_dem,pct_rep,party_label
FL,236,195,196,40,57993060,303112,5793003,11891043,2737472,8616811,215486,86626,-6098040,-5879339,28,28,1,"MUCARSEL-POWELL, DEBBIE",D,106306,71.32652791017901,28.673472089820994,D
NE,24,20,13,11,21074870,252537,18891344,31636360,3774279,17392236,59555,73152,-12745016,-13617957,3,3,1,"OSBORN, DAN",,119830,44.87705998929973,55.12294001070026,Mixed
IL,72,66,71,1,32167771,218233,2381501,818890,2126184,744114,210333,7900,1562611,1382070,17,17,1,"KRISHNAMOORTHI, S. RAJA",D,82856,96.38001585461411,3.6199841453858945,D
CO,105,66,103,2,25045411,211518,11053064,24917520,8253854,20231619,201896,9622,-13864456,-11977765,8,8,1,"CARAVEO, YADIRA",D,71227,95.45097816734274,4.549021832657267,D
MD,157,130,114,43,36053372,199635,11417025,45834873,5757625,8178808,185335,14300,-34417848,-2421183,8,8,1,"ALSOBROOKS, ANGELA",D,123079,92.8369273924913,7.163072607508704,D
MA,37,29,24,13,14148488,183142,1734617,420914,372,0,158802,21190,1313703,372,9,9,1,"CLARK, KATHERINE",D,60500,88.22725454464643,11.77274545535357,D
NM,21,15,8,13,17990188,178314,2051194,17066881,1169172,14334489,177054,1260,-15015687,-13165317,3,3,1,"HEINRICH, MARTIN",D,132152,99.29338133853763,0.7066186614623642,D
OR,57,42,55,2,16861281,155556,10629442,22205093,8482241,18144522,155556,0,-11575651,-9662281,6,6,1,"BYNUM, JANELLE",D,95557,100.0,0.0,D
IA,23,18,20,3,16278708,137116,6977791,22488080,5017636,19643680,102166,34950,-15510289,-14626044,4,4,1,"BOHANNAN, CHRISTINA",D,61095,74.51063333236092,25.48936666763908,D
DE,16,15,10,6,8050294,128763,417425,0,285223,0,128763,0,417425,285223,1,1,1,"MCBRIDE, SARAH ELIZABETH",D,86187,100.0,0.0,D
ME,16,10,11,5,10936755,123918,2729488,21909955,965704,17855443,59868,11600,-19180467,-16889739,2,2,1,"GOLDEN, JARED",D,59868,83.76895953433706,16.231040465662954,D
NH,33,32,33,0,9864198,122685,1746293,556581,1040831,455149,118400,4285,1189712,585682,2,2,0,"GOODLANDER, MAGGIE",D,78950,96.50731548274035,3.4926845172596486,D
NC,95,83,95,0,25288639,108387,7886157,16208453,1515648,11924144,51098,55518,-8322296,-10408496,14,14,0,"DAVIS, DON",D,41823,47.92714039168605,52.07285960831395,Mixed
CT,30,24,23,7,14764455,103573,877041,2075231,595205,2070231,102773,800,-1198190,-1475026,5,5,1,"MURPHY, CHRISTOPHER S",D,45199,99.22759792610043,0.7724020738995684,D
LA,32,30,32,0,26903419,97072,324932,13143,1113,1500,7250,89822,311789,-387,6,6,0,"SCALISE, STEVE MR",R,76900,7.468683039393439,92.53131696060656,R
MO,82,59,70,12,30753453,95008,9858270,13132862,7469619,8406673,85347,8661,-3274592,-937054,8,8,1,"KUNCE, LUCAS",D,39416,90.78695430176155,9.213045698238448,D
KY,32,27,31,1,8838981,81265,672214,319783,4277,319783,2500,78765,352431,-315506,6,6,1,"GUTHRIE, S. BRETT HON.",R,25000,3.0763551344367195,96.92364486556329,R
AK,14,6,13,1,8048798,67951,7644765,19963029,5474667,10953147,67751,200,-12318264,-5478480,1,1,1,"PELTOLA, MARY",D,67751,99.70567026239496,0.29432973760503894,D
UT,58,50,38,20,14329007,67778,11318205,2043649,213073,0,3555,64223,9274556,213073,4,4,1,"CURTIS, JOHN",R,49850,5.245064770279441,94.75493522972056,R
TN,72,53,60,12,16182373,62647,1532095,73652,370766,0,16900,45747,1458443,370766,9,9,1,"BLACKBURN, MARSHA MRS.",R,31797,26.976551151691226,73.02344884830877,R
AL,45,44,45,0,10879302,60347,3168522,2779426,44249,0,17827,42520,389096,44249,7,7,0,"ROGERS, MICHAEL",R,27950,29.540822244684904,70.4591777553151,R
GA,91,80,87,4,13363539,49965,2834063,140864,644989,43109,28387,21578,2693199,601880,14,14,1,"MCBATH, LUCIA KAY MS.",D,10250,56.813769638747125,43.186230361252875,Mixed
IN,114,92,96,18,16126706,49449,7684241,966279,1036942,766094,9350,40099,6717962,270848,9,9,1,"HOUCHIN, ERIN",R,24299,18.9083702400453,81.0916297599547,R
WY,11,7,6,5,4499889,48145,1017627,0,25000,0,900,47245,1017627,25000,1,1,1,"BARRASSO, JOHN A",R,47145,1.869352996157441,98.13064700384257,R
RI,16,14,10,6,6019204,45869,400504,82828,31369,0,45869,0,317676,31369,2,2,1,"AMO, GABRIEL F",D,28169,100.0,0.0,D
MS,18,17,13,5,7095332,45030,455194,21910,2500,0,2430,42600,433284,2500,4,4,1,"WICKER, ROGER SEN.",R,22800,5.396402398401066,94.60359760159893,R
VT,10,3,4,6,4366769,44899,159772,0,2400,0,2000,0,159772,2400,1,1,1,"SANDERS, BERNARD",,42899,100.0,0.0,D
AR,16,13,15,1,4738201,39050,328512,15087,0,0,1250,37800,313425,0,4,4,1,"HILL, JAMES FRENCH",R,30700,3.201024327784891,96.79897567221511,R
KS,23,21,23,0,7044544,37885,508045,393283,218248,354015,30085,7800,114762,-135767,4,4,0,"DAVIDS, SHARICE",D,29835,79.41137653424838,20.588623465751617,D
OK,26,20,25,1,6037653,36425,355924,3430102,57732,345600,6075,30100,-3074178,-287868,5,5,1,"COLE, TOM",R,11600,16.79336558396683,83.20663441603318,R
ND,13,10,10,3,5300029,32915,1493379,1564299,72914,463309,11385,21530,-70920,-390395,1,1,1,"CRAMER, KEVIN MR.",R,15730,34.58909311863892,65.41090688136109,Mixed
WV,29,25,14,15,10192272,30863,6127449,2812720,633759,2106384,23125,7738,3314729,-1472625,2,2,1,"MANCHIN, JOE III",D,17450,74.92790720279947,25.07209279720053,D
SC,51,40,50,1,6846417,27076,6333528,5646586,501503,530505,5100,21470,686942,-29002,7,7,1,"MACE, NANCY",R,14700,19.194580353782463,80.80541964621753,R
HI,23,17,9,14,2273910,13437,4078,0,0,0,13437,0,4078,0,2,2,1,"HIRONO, MAZIE K.",D,9137,100.0,0.0,D
ID,12,7,12,0,1050349,10700,198581,0,25565,0,0,10700,198581,25565,2,2,0,"SIMPSON, MICHAEL",R,10400,0.0,100.0,R
SD,7,7,7,0,2533700,6600,124736,0,124736,0,0,6600,124736,124736,1,1,0,"JOHNSON, DUSTY",R,6600,0.0,100.0,R
VI,3,2,3,0,317146,6500,0,0,0,0,6500,0,0,0,1,1,0,"PLASKETT, STACEY",D,6500,100.0,0.0,D
PR,11,5,11,0,3275762,2230,0,0,0,0,2230,0,0,0,1,1,0,"HERNANDEZ RIVERA, PABLO JOSE",D,2230,100.0,0.0,D
AS,4,2,4,0,61440,0,0,0,0,0,0,0,0,0,1,1,0,"AMATA, AUMUA",R,0,,,Unknown
DC,10,7,8,2,126450,0,0,0,0,0,0,0,0,0,1,1,1,"WILLIAMS, KELLY",D,0,,,Unknown
GU,4,4,4,0,795213,0,0,0,0,0,0,0,0,0,1,1,0,"CRUZ, GINGER",D,0,,,Unknown
MP,4,1,4,0,1650,0,0,0,0,0,0,0,0,0,1,1,0," GONZALES, JOHN OLIVER DELOS REYES",,0,,,Unknown
