state_code,candidate_count,major_party_candidate_count,house_candidate_count,senate_candidate_count,total_itemized_receipts,tech_itemized_receipts,ie_support_total,ie_oppose_total,tech_funded_ie_support_total,tech_funded_ie_oppose_total,dem_tech_itemized_receipts,rep_tech_itemized_receipts,ie_net_support,tech_funded_ie_net_support,house_district_count,major_party_house_district_count,has_senate_race,top_candidate_name,top_candidate_party,top_candidate_tech_itemized_receipts,pct_dem,pct_rep,party_label
CA,412,347,345,67,199344598,3190714,54018287,142549793,33600085,124869008,2835181,355033,-88531506,-91268923,52,52,1,"KHANNA, ROHIT",D,506085,88.8711854439859,11.12881455601411,D
WA,102,88,82,20,38119131,1051318,8107186,17266449,3852393,15305124,1021724,29594,-9159263,-11452731,10,10,1,"CANTWELL, MARIA",D,339258,97.18505723292095,2.814942767079038,D
NY,175,147,149,26,96786574,1012133,41021655,96826184,31562870,92182162,947010,58423,-55804529,-60619292,26,26,1,"RYAN, PATRICK",D,119935,94.18926969773223,5.810730302267779,D
PA,86,76,72,14,91828744,797371,61836228,233554142,43607586,154403343,618340,179031,-171717914,-110795757,17,17,1,"CASEY, ROBERT P. JR.",D,328624,77.5473399458972,22.452660054102797,D
MI,119,87,91,28,80245472,660373,60287944,144769357,18115390,112526030,591854,68519,-84481413,-94410640,13,13,1,"SLOTKIN, ELISSA",D,290815,89.62419723398746,10.37580276601254,D
TX,284,237,251,33,139615722,608712,28668317,45161799,5606944,9073927,453140,154672,-16493482,-3466983,38,38,1,"ALLRED, COLIN",D,302938,74.55265772969273,25.447342270307267,D
OH,121,88,107,14,109716323,593438,108288028,236021555,34086251,103837977,479420,114018,-127733527,-69751726,15,15,1,"BROWN, SHERROD",D,407910,80.78687242812222,19.21312757187777,D
MT,32,27,21,11,82799768,586333,37000162,131733651,9994068,37466091,552246,34087,-94733489,-27472023,2,2,1,"TESTER, R. JON",D,525546,94.1864094294539,5.813590570546089,D
AZ,97,74,74,23,79115156,462515,47168955,88978562,23525331,39960596,392179,37785,-41809607,-16435265,9,9,1,"GALLEGO, RUBEN",D,234348,91.21205496274106,8.787945037258933,D
WI,62,51,45,17,63166496,415709,23262056,112040019,14964899,49605840,307048,108661,-88777963,-34640941,8,8,1,"BALDWIN, TAMMY",D,198220,73.8612827723239,26.13871722767609,D
NJ,146,100,121,25,46976526,367974,6032958,11833536,3252519,10919258,343724,7350,-5800578,-7666739,12,12,1,"KIM, ANDY",D,101772,97.90642428661764,2.093575713382364,D
VA,100,85,82,18,45093219,342866,19380556,19036037,7439313,13039380,287648,55218,344519,-5600067,11,11,1,"KAINE, TIMOTHY MICHAEL",D,73965,83.89516604154392,16.104833958456073,D
NV,66,41,41,25,43235070,321982,27184790,75563219,16738713,17616341,309123,12859,-48378429,-877628,4,4,1,"ROSEN, JACKY",D,202243,96.0062984887354,3.993701511264605,D
MN,68,47,49,19,33763354,304803,5478232,733684,1977174,665250,37228,166716,4744548,1311924,8,8,1,"EMMER, THOMAS EARL JR.",R,159466,18.25403051818146,81.74596948181853,R
