cycle,week_end,tech_canonical_name,company_slug,net_total,cumulative_net_total,gross_positive,n_contributions,n_donors
2024,2023-02-05,a16z,a16z,5000,5000,5000,1,1
2024,2023-02-26,a16z,a16z,5000,10000,5000,1,1
2024,2023-03-19,a16z,a16z,2900,12900,2900,1,1
2024,2023-03-26,a16z,a16z,3300,16200,3300,1,1
2024,2023-04-02,a16z,a16z,5800,22000,5800,2,1
2024,2023-04-09,a16z,a16z,250,22250,250,1,1
2024,2023-04-30,a16z,a16z,28200,50450,28200,3,3
2024,2023-05-07,a16z,a16z,22300,72750,22300,4,4
2024,2023-05-14,a16z,a16z,13200,85950,13200,3,2
2024,2023-05-21,a16z,a16z,16600,102550,16600,3,3
2024,2023-05-28,a16z,a16z,5000,107550,5000,1,1
2024,2023-06-11,a16z,a16z,3300,110850,3300,1,1
2024,2023-07-16,a16z,a16z,3300,114150,3300,1,1
2024,2023-11-12,a16z,a16z,250000,364150,250000,1,1
2024,2023-11-19,a16z,a16z,1000,365150,1000,1,1
2024,2023-11-26,a16z,a16z,54600,419750,57900,14,2
2024,2023-12-03,a16z,a16z,97600,517350,100900,25,4
2024,2023-12-17,a16z,a16z,10000,527350,10000,2,2
2024,2023-12-24,a16z,a16z,23200,550550,23200,3,3
2024,2023-12-31,a16z,a16z,11600,562150,11600,1,1
2024,2024-01-07,a16z,a16z,1000,563150,1000,1,1
2024,2024-01-14,a16z,a16z,11600,574750,11600,1,1
2024,2024-01-21,a16z,a16z,6600,581350,6600,1,1
2024,2024-01-28,a16z,a16z,21100,602450,21100,4,2
2024,2024-02-04,a16z,a16z,11600,614050,11600,2,1
2024,2024-02-18,a16z,a16z,500,614550,500,1,1
2024,2024-03-03,a16z,a16z,51038,665588,51038,7,2
2024,2024-03-10,a16z,a16z,30472,696060,30472,6,2
2024,2024-03-17,a16z,a16z,52540,748600,52540,6,2
2024,2024-03-24,a16z,a16z,2550,751150,2550,1,1
2024,2024-04-14,a16z,a16z,134666,885816,137966,22,4
2024,2024-04-21,a16z,a16z,79500,965316,79500,13,3
2024,2024-04-28,a16z,a16z,149668,1114984,159568,28,7
2024,2024-05-05,a16z,a16z,56462,1171446,56462,14,2
2024,2024-05-12,a16z,a16z,84137,1255583,84137,25,6
2024,2024-05-19,a16z,a16z,4300,1259883,7600,4,3
2024,2024-06-02,a16z,a16z,66797,1326680,73397,16,2
2024,2024-06-09,a16z,a16z,70841,1397521,77441,21,6
2024,2024-06-16,a16z,a16z,28750,1426271,32050,9,4
2024,2024-06-23,a16z,a16z,143384,1569655,143384,32,3
2024,2024-06-30,a16z,a16z,198899,1768554,198899,31,12
2024,2024-07-14,a16z,a16z,5000,1773554,5000,1,1
2024,2024-07-28,a16z,a16z,5000900,6774454,5000900,4,4
2024,2024-08-04,a16z,a16z,102734,6877188,102734,33,4
2024,2024-08-11,a16z,a16z,866350,7743538,866350,11,5
2024,2024-08-18,a16z,a16z,5000,7748538,5000,1,1
2024,2024-08-25,a16z,a16z,8132,7756670,8166,6,4
2024,2024-09-15,a16z,a16z,122466,7879136,122466,30,8
2024,2024-09-22,a16z,a16z,17600,7896736,17600,5,2
2024,2024-09-29,a16z,a16z,85701,7982437,89001,24,5
2024,2024-10-06,a16z,a16z,125466,8107903,128766,30,6
2024,2024-10-13,a16z,a16z,4532400,12640303,4533650,17,7
2024,2024-10-20,a16z,a16z,4167,12644470,4167,3,3
2024,2024-10-27,a16z,a16z,136400,12780870,136400,28,9
2024,2024-11-03,a16z,a16z,26000,12806870,26000,7,3
2024,2024-11-10,a16z,a16z,8300,12815170,8300,4,2
2024,2024-11-24,a16z,a16z,6600,12821770,6600,2,1
2024,2023-01-15,accel,accel,38,38,38,1,1
2024,2023-01-22,accel,accel,19,57,19,1,1
2024,2023-01-29,accel,accel,0,57,0,1,1
2024,2023-02-05,accel,accel,60,117,60,3,2
2024,2023-02-12,accel,accel,0,117,0,1,1
2024,2023-03-12,accel,accel,6600,6717,6600,2,1
2024,2023-03-19,accel,accel,0,6717,0,1,1
2024,2023-03-26,accel,accel,17,6734,17,1,1
2024,2023-04-02,accel,accel,6600,13334,6600,2,1
2024,2023-04-09,accel,accel,6617,19951,6617,3,2
2024,2023-04-16,accel,accel,17,19968,17,1,1
2024,2023-04-23,accel,accel,17,19985,17,1,1
2024,2023-05-07,accel,accel,17,20002,17,1,1
2024,2023-05-21,accel,accel,17,20019,17,1,1
2024,2023-05-28,accel,accel,17,20036,17,1,1
2024,2023-06-11,accel,accel,17,20053,17,2,1
2024,2023-06-18,accel,accel,15,20068,15,3,2
2024,2023-07-02,accel,accel,17,20085,17,1,1
2024,2023-07-09,accel,accel,6664,26749,6664,6,2
2024,2023-07-23,accel,accel,0,26749,0,1,1
2024,2023-08-06,accel,accel,43,26792,43,5,2
2024,2023-08-20,accel,accel,5,26797,5,3,2
2024,2023-08-27,accel,accel,27,26824,27,2,2
2024,2023-09-24,accel,accel,17,26841,17,2,1
2024,2023-10-01,accel,accel,19,26860,19,2,2
2024,2023-10-08,accel,accel,510032,536892,510032,3,2
2024,2023-10-22,accel,accel,20,536912,20,3,2
2024,2023-10-29,accel,accel,10,536922,10,2,2
2024,2023-11-26,accel,accel,0,536922,0,2,1
2024,2023-12-03,accel,accel,16600,553522,16600,1,1
2024,2023-12-17,accel,accel,6600,560122,6600,2,1
2024,2023-12-24,accel,accel,0,560122,0,1,1
2024,2023-12-31,accel,accel,0,560122,0,1,1
2024,2024-01-07,accel,accel,0,560122,0,1,1
2024,2024-01-28,accel,accel,10017,570139,10017,3,3
