cycle,entity_type,entity_id,entity_name,entity_subtype,party_label,party_score_dem,party_score_rep,lean_dem_amt,lean_rep_amt,mixed_amt,unknown_amt,lean_measure_total,coverage_total,coverage_ratio,classification_method,classification_source,scope
2024,company,x_twitter_spacex,x_twitter_spacex,tech_company,R,0.0007764515760605773,0.9992235484239395,195479,251563943,2231572.0,992411.0,251759422,254983405,0.9873561065670137,employee_recipient_committee_lean,company_employee_giving,tech_companies
2024,company,greylock,greylock,tech_company,D,0.9807079587769948,0.019292041223005207,27862732,548103,1540000.0,3894100.0,28410835,33844935,0.839441263515501,employee_recipient_committee_lean,company_employee_giving,tech_companies
2024,company,ripple,ripple,tech_company,D,0.9792748791050966,0.020725120894903415,11978600,253512,0.0,2194629.0,12232112,14426741,0.8478777015543567,employee_recipient_committee_lean,company_employee_giving,tech_companies
2024,company,sequoia,sequoia,tech_company,Mixed,0.6823250793181715,0.31767492068182845,8312050,3869900,12500.0,607600.0,12181950,12802050,0.9515624450771556,employee_recipient_committee_lean,company_employee_giving,tech_companies
2024,company,google,google,tech_company,D,0.9465235408641687,0.05347645913583132,10794375,609858,1661916.0,5406408.0,11404233,18472557,0.6173608234095583,employee_recipient_committee_lean,company_employee_giving,tech_companies
2024,company,a16z,a16z,tech_company,Mixed,0.30641531011606926,0.6935846898839307,3353483,7590758,285000.0,1592529.0,10944241,12821770,0.8535670972104475,employee_recipient_committee_lean,company_employee_giving,tech_companies
2024,company,netflix,netflix,tech_company,D,0.9997460034808447,0.0002539965191552529,10249505,2604,0.0,4846615.0,10252109,15098724,0.6790049940643991,employee_recipient_committee_lean,company_employee_giving,tech_companies
2024,company,microsoft,microsoft,tech_company,D,0.8324490106573506,0.16755098934264945,4429636,891574,1215768.0,4564361.0,5321210,11101339,0.4793304663518518,employee_recipient_committee_lean,company_employee_giving,tech_companies
2024,company,amazon,amazon,tech_company,D,0.9146550926604202,0.08534490733957978,2778156,259225,1215807.0,1799852.0,3037381,6053040,0.5017943050103749,employee_recipient_committee_lean,company_employee_giving,tech_companies
2024,company,apple,apple,tech_company,D,0.9509372774355039,0.049062722564496064,2750510,141910,4705.0,1519931.0,2892420,4417056,0.6548298233031231,employee_recipient_committee_lean,company_employee_giving,tech_companies
